Shear stress(Pa),Shear rate(s-¹),Shear viscosity(Pa s),Angular velocity(rad/s),Steady state
27.58,1.225,22.51,0.1062,0.9582
32.34,1.542,20.97,0.1337,0.9860
34.79,1.942,17.92,0.1683,0.9863
37.58,2.444,15.37,0.2119,0.9742
40.42,3.076,13.14,0.2667,0.9599
42.72,3.872,11.03,0.3357,0.9837
45.70,4.875,9.374,0.4226,0.9766
48.65,6.137,7.927,0.5320,0.9833
52.14,7.726,6.749,0.6697,0.9827
56.05,9.726,5.763,0.8431,0.9834
60.36,12.24,4.930,1.061,0.9805
64.97,15.41,4.216,1.336,0.9820
70.21,19.40,3.619,1.682,0.9822
76.24,24.42,3.122,2.117,0.9965
82.58,30.74,2.686,2.665,0.9726
89.75,38.70,2.319,3.355,0.9772
97.58,48.71,2.003,4.223,0.9828
106.2,61.32,1.732,5.316,0.9838
115.9,77.20,1.501,6.692,0.9805
126.6,97.19,1.302,8.425,0.9807
138.3,122.3,1.130,10.61,0.9806
151.2,154.0,0.9817,13.35,0.9792
164.6,193.8,0.8493,16.80,0.9803
180.1,244.0,0.7382,21.15,0.9809
197.5,307.2,0.6428,26.63,0.9792
217.2,386.7,0.5616,33.52,0.9798
237.5,486.8,0.4878,42.20,0.9794
211.5,408.2,0.5182,35.39,1.031
185.8,324.3,0.5729,28.11,1.028
164.7,257.6,0.6395,22.33,1.026
147.0,204.6,0.7181,17.74,1.026
131.8,162.6,0.8109,14.09,1.024
118.7,129.2,0.9188,11.20,1.024
107.1,102.6,1.044,8.894,1.024
97.02,81.50,1.190,7.065,1.017
87.94,64.74,1.358,5.612,1.022
79.98,51.43,1.555,4.458,1.023
72.87,40.85,1.784,3.541,1.022
66.48,32.45,2.049,2.813,1.016
60.78,25.78,2.358,2.235,1.024
55.68,20.48,2.718,1.776,1.020
51.05,16.27,3.138,1.410,1.023
47.03,12.93,3.639,1.120,1.021
43.21,10.27,4.208,0.8900,1.018
39.93,8.156,4.896,0.7070,1.017
36.94,6.479,5.702,0.5616,1.017
34.31,5.146,6.667,0.4461,1.018
31.90,4.088,7.803,0.3544,1.017
29.74,3.247,9.158,0.2815,1.016
27.76,2.580,10.76,0.2237,1.015
25.97,2.050,12.67,0.1777,1.015
24.60,1.628,15.11,0.1412,1.019
22.78,1.293,17.61,0.1121,1.015
21.34,1.027,20.77,0.08907,1.016
